i0,i1,o0
5549,-380,5549
-2495,2781,2781
2076,5021,5021
1005,-2613,1005
-737,-891,-737
2649,-7682,2649
7457,-5460,7457
453,1811,1811
-699,-3349,-699
-338,6104,6104
9531,-2538,9531
-2035,-361,-361
-5003,7399,7399
-4335,-2229,-2229
4778,5318,5318
-8299,117,117
-4840,-2221,-2221
1196,3553,3553
4716,-6426,4716
-493,2765,2765
-9178,8442,8442
6031,1860,6031
8964,8571,8964
2449,-166,2449
6302,1652,6302
3104,-6729,3104
-3031,-9202,-3031
6453,3125,6453
9849,7460,9849
4873,1706,4873
-5077,-4409,-4409
3836,-5028,3836
2631,-3760,2631
-3775,8647,8647
-9015,4849,4849
-4267,-6081,-4267
-76,-3186,-76
-7646,8842,8842
-7758,1195,1195
4812,6820,6820
8932,4938,8932
-3421,8680,8680
-8340,-8030,-8030
-1814,-9281,-1814
-1711,-7292,-1711
-3148,7633,7633
8164,-5012,8164
-3840,-2370,-2370
-3524,-6305,-3524
-7756,-8197,-7756
-1904,-7078,-1904
2264,5094,5094
7879,-1856,7879
-5539,9662,9662
-3298,8945,8945
785,4539,4539
-4613,9542,9542
4694,-9925,4694
8089,-7725,8089
50,3373,3373
-6752,9863,9863
3420,893,3420
-9616,-893,-893
9399,3514,9399
-2490,7514,7514
9535,1116,9535
6572,-4358,6572
8322,-3442,8322
5692,6389,6389
-2487,-8126,-2487
-9766,-3586,-3586
-4724,828,828
4834,-4982,4834
-5716,-9847,-5716
-6854,-5095,-5095
-4095,-7055,-4095
4906,-1797,4906
-4535,1628,1628
-7754,9779,9779
-4475,2563,2563
-9472,5082,5082
-2356,-2636,-2356
-126,-2411,-126
3965,-9968,3965
2521,9092,9092
-8470,-5204,-5204
7638,-745,7638
3474,4624,4624
-658,-5620,-658
3515,-1420,3515
1352,2247,2247
-1915,5394,5394
-1227,-4727,-1227
1225,9142,9142
-2820,-2795,-2795
-2364,-322,-322
1091,6504,6504
-1101,-3655,-1101
7525,9106,9106
4965,-72,4965
8714,9877,9877
3340,1680,3340
263,-7929,263
3996,-5398,3996
-1489,-2403,-1489
-3731,6346,6346
3801,4658,4658
1577,8639,8639
8867,1854,8867
8291,6304,8291
-2941,-3410,-2941
-8992,-5350,-5350
8846,-3295,8846
5341,-9649,5341
-581,-8005,-581
5884,-9305,5884
8072,4215,8072
-7117,-4875,-4875
4458,-8724,4458
-2561,474,474
-4703,-5846,-4703
9030,-8762,9030
-9919,5493,5493
-5682,8385,8385
-5017,-7688,-5017
5500,8548,8548
-3184,-4630,-3184
2470,5528,5528
-4622,-2473,-2473
-2004,-836,-836
6128,-1632,6128
4995,-5456,4995
3715,4027,4027
663,2448,2448
-5420,1898,1898
-9608,2971,2971
-4680,-3509,-3509
1148,-7628,1148
4413,-2503,4413
-6906,-6460,-6460
-9437,1708,1708
5503,8493,8493
9451,-9584,9451
-4476,-3108,-3108
3694,-728,3694
3747,6130,6130
1083,-2088,1083
-5492,-6782,-5492
5846,8747,8747
6380,555,6380
-3641,8279,8279
-9298,-3564,-3564
-7215,5518,5518
7815,-4261,7815
4164,2839,4164
9870,6353,9870
-1744,-6479,-1744
-6222,-2684,-2684
4134,9435,9435
5049,7344,7344
4501,5230,5230
688,-8942,688
-823,1473,1473
9864,-2200,9864
3241,-9573,3241
2550,-5348,2550
9024,9126,9126
7727,-655,7727
-5938,2775,2775
-9972,-6633,-6633
-4643,9578,9578
-7501,-211,-211
-2392,8635,8635
-9759,-5754,-5754
-319,-3348,-319
-2365,-1810,-1810
5092,2722,5092
-6111,-2101,-2101
-9554,-5105,-5105
-2943,449,449
8905,-8601,8905
-4056,6711,6711
7655,-4027,7655
-1018,1584,1584
-4190,-6369,-4190
-8029,5119,5119
2301,-9237,2301
6657,9731,9731
-3592,-7867,-3592
7520,8527,8527
5520,-5698,5520
-565,-1784,-565
-1700,2336,2336
-4717,9549,9549
-1693,-2412,-1693
6607,2278,6607
602,-2716,602
8672,-3597,8672
-9836,4111,4111
5975,-5526,5975
9965,-479,9965
-8462,-2250,-2250
-2529,7886,7886
-7090,1016,1016
8893,-1270,8893
-1402,-503,-503
8850,8437,8850
8398,-8026,8398
4252,-8964,4252
6414,2746,6414
-6426,-7010,-6426
-8961,6109,6109
5785,9624,9624
7731,1202,7731
-8582,-8445,-8445
-2000,4784,4784
-1931,4870,4870
1952,-57,1952
9985,6172,9985
-4681,1235,1235
-7881,-2925,-2925
-4137,-9503,-4137
8699,9631,9631
1160,-217,1160
-7716,8583,8583
-9580,-1624,-1624
-3133,-2527,-2527
-7007,5305,5305
3147,-5008,3147
6938,2203,6938
2214,8163,8163
-9876,-7886,-7886
3365,-1319,3365
-6023,-1390,-1390
7642,-3613,7642
4506,-1222,4506
-6859,5889,5889
3182,-4232,3182
-3450,-4238,-3450
6301,5275,6301
1218,-2368,1218
6964,-6518,6964
-7691,-8013,-7691
1721,-5373,1721
2265,-7450,2265
9455,6797,9455
1502,3830,3830
-4327,-5076,-4327
640,-8553,640
-4522,953,953
7690,-4619,7690
5387,-4343,5387
352,2808,2808
6635,-8053,6635
8123,-6774,8123
1865,2100,2100
-1050,-4536,-1050
1020,-3165,1020
4690,-1125,4690
-3398,-9782,-3398
-6258,1270,1270
-645,-8919,-645
150,6028,6028
798,8723,8723
-5297,-5147,-5147
8711,-6166,8711
-4391,1791,1791
9209,4572,9209
5100,-2958,5100
-6365,2320,2320
-9876,7243,7243
6894,7196,7196
-1737,-6312,-1737
2352,-1037,2352
-6897,-8619,-6897
-9554,9732,9732
-8423,-5211,-5211
-978,9185,9185
5045,-1247,5045
-1350,-6846,-1350
-7961,2248,2248
6709,-237,6709
-7923,5800,5800
6282,8432,8432
2974,2599,2974
3840,1633,3840
7050,-295,7050
-9061,1547,1547
7968,9238,9238
-6427,-8965,-6427
-3133,-7125,-3133
7543,4494,7543
7645,-5377,7645
6218,-6682,6218
8667,-9450,8667
-3147,-1155,-1155
-3592,-7596,-3592
-8776,-6833,-6833
1423,-9545,1423
-4272,8145,8145
-9611,3226,3226
4113,1665,4113
807,9696,9696
4332,-9208,4332
2258,-5056,2258
6683,-772,6683
-3963,8419,8419
-2289,-5785,-2289
6533,-874,6533
1595,1983,1983
-5943,-6289,-5943
-7142,9266,9266
1639,1827,1827
1691,7933,7933
7048,-7428,7048
3414,5464,5464
6292,7180,7180
3345,-1866,3345
4645,-4640,4645
-4497,-5093,-4497
7675,951,7675
-6649,-5590,-5590
-7240,-9470,-7240
9211,-5245,9211
-4496,912,912
8102,-8185,8102
2305,7444,7444
-178,-7519,-178
4996,9497,9497
4794,3951,4794
-733,-4714,-733
7963,-4577,7963
-535,7242,7242
-5827,-9422,-5827
5851,-9392,5851
-6675,3961,3961
-386,-7923,-386
1924,6015,6015
2414,-8964,2414
4601,2439,4601
-5467,-3342,-3342
1050,-5783,1050
8508,-985,8508
-4375,162,162
4219,5425,5425
-2791,-5884,-2791
-8721,-7136,-7136
-1948,4707,4707
4548,4896,4896
9201,7036,9201
-5449,2627,2627
-6616,7465,7465
3933,3192,3933
-9549,-4938,-4938
-8317,-1142,-1142
3218,-5658,3218
-8610,7696,7696
4451,-5971,4451
-6151,7505,7505
-9884,4058,4058
4648,-8416,4648
-8733,5504,5504
1534,-2795,1534
596,6604,6604
629,7801,7801
2207,-309,2207
-2534,-9111,-2534
-3158,4931,4931
3664,-164,3664
4527,-7027,4527
-6549,-4286,-4286
6374,9558,9558
-6599,-6774,-6599
2818,-6140,2818
-5273,-6346,-5273
-6404,4690,4690
1524,-9181,1524
-8721,-985,-985
-3830,7540,7540
7081,8809,8809
-2525,-6800,-2525
-5632,-5860,-5632
-9402,-9578,-9402
-2017,2020,2020
7999,-3081,7999
-1512,4634,4634
1577,1174,1577
7721,-1015,7721
6529,-2263,6529
629,4529,4529
-7355,6291,6291
-426,-7600,-426
6038,166,6038
6407,-7096,6407
4821,-525,4821
526,7271,7271
-4956,-6923,-4956
-398,-5617,-398
7754,-7667,7754
2729,2975,2975
-3668,-6144,-3668
4538,-3016,4538
-554,396,396
8453,334,8453
7414,5917,7414
2701,7680,7680
6140,3095,6140
4526,-5814,4526
-2851,-6751,-2851
614,-1865,614
601,-1107,601
-359,-8474,-359
-5776,-1834,-1834
4941,-9730,4941
6982,-8660,6982
6345,-8151,6345
-1976,-7577,-1976
6241,6835,6835
-9885,5830,5830
4753,8455,8455
4299,-624,4299
-7801,-9188,-7801
-7054,-9929,-7054
-5596,-1385,-1385
-4120,4590,4590
-4502,6311,6311
-6952,834,834
8756,3558,8756
2175,1481,2175
-5273,-8014,-5273
8784,8192,8784
1717,-714,1717
-5737,5348,5348
-6126,7922,7922
6538,577,6538
5734,5723,5734
-5360,3118,3118
821,-4803,821
3418,442,3418
3742,-9725,3742
-9776,9642,9642
-1322,-5101,-1322
-8623,-1367,-1367
-9109,-452,-452
2817,-2763,2817
3098,-2391,3098
-9197,7615,7615
-2568,-5528,-2568
-6014,-2390,-2390
9044,1513,9044
7111,-5492,7111
967,2082,2082
7406,8919,8919
8339,2499,8339
-9908,376,376
-2122,6070,6070
3775,-820,3775
3730,-3640,3730
-9153,3202,3202
7455,-2014,7455
9724,-3288,9724
-1869,-514,-514
-773,-5338,-773
2672,7252,7252
-7665,-8506,-7665
-4514,1077,1077
-4189,-8311,-4189
1361,3494,3494
8472,-189,8472
7770,8802,8802
-3787,-3336,-3336
2788,-2281,2788
-2843,-6115,-2843
5386,-6438,5386
6051,4730,6051
8205,210,8205
-8974,-9820,-8974
4137,5094,5094
1444,7598,7598
2819,3333,3333
1681,-8487,1681
-6916,-4496,-4496
6709,375,6709
8431,-2222,8431
5622,-581,5622
-3832,-6772,-3832
-7469,-4607,-4607
4715,-9115,4715
-9919,-4505,-4505
6186,8719,8719
-2760,2823,2823
-8363,-6038,-6038
320,5163,5163
3210,8923,8923
-1204,-8160,-1204
-2073,-1754,-1754
-2835,6757,6757
4333,-5877,4333
-9136,4234,4234
7526,697,7526
6325,-5405,6325
-3118,1170,1170
-7514,-8547,-7514
-6533,-4519,-4519
6097,-2011,6097
-1322,-2274,-1322
4283,-8166,4283
-5199,-7076,-5199
308,-5564,308
-6906,9838,9838
-144,770,770
-3156,5288,5288
7185,-6944,7185
4378,-6812,4378
-2469,-7479,-2469
-4208,-2684,-2684
8432,-4743,8432
1263,-1925,1263
2950,-6120,2950
9803,-6795,9803
9489,-675,9489
-8407,6766,6766
-9402,-8255,-8255
3928,8531,8531
5279,7470,7470
-8685,-4600,-4600
-8497,5927,5927
6615,6141,6615
433,1275,1275
3724,8859,8859
4447,-3861,4447
-4307,5288,5288
7082,-7886,7082
-9352,6389,6389
5639,-8842,5639
-5894,5751,5751
5971,-5841,5971
-9066,-3383,-3383
-6340,-8119,-6340
1506,-1621,1506
-5215,8105,8105
143,-9810,143
153,-2645,153
-3647,4403,4403
9945,-2896,9945
6457,5249,6457
646,1904,1904
8619,-6405,8619
-9887,6945,6945
1401,3454,3454
8132,4309,8132
-3728,7318,7318
3842,-4334,3842
-4879,-6225,-4879
6234,3903,6234
-6049,1399,1399
7945,6659,7945
3241,9380,9380
-6010,-3533,-3533
2138,-1334,2138
-4534,6756,6756
6263,-302,6263
126,9714,9714
-14,-2106,-14
3105,226,3105
-2831,-381,-381
-8729,8158,8158
1021,8881,8881
-4967,-5552,-4967
-8590,4388,4388
-80,-1374,-80
-9573,-2389,-2389
-8740,6857,6857
-4730,-7535,-4730
-2231,7460,7460
-6109,3281,3281
1484,3201,3201
5605,-3285,5605
-176,7640,7640
-937,472,472
1234,1319,1319
-4153,3563,3563
-8458,-9511,-8458
7709,-5718,7709
-4010,8663,8663
9715,-7049,9715
4227,3690,4227
1006,2552,2552
2274,7074,7074
9738,2270,9738
-7627,2443,2443
2860,-4178,2860
-8340,5155,5155
-2581,-4030,-2581
6774,-4277,6774
3230,-4328,3230
5473,-4209,5473
-7229,-2327,-2327
2410,-7851,2410
3853,3583,3853
-4146,7334,7334
7613,-6341,7613
-9441,320,320
3609,-9953,3609
-3977,3335,3335
-6804,-771,-771
-4362,-3730,-3730
-7704,-3413,-3413
-369,3336,3336
5686,7387,7387
763,-754,763
6223,-8267,6223
6545,3166,6545
-7374,-9767,-7374
8305,1634,8305
3194,6923,6923
-8261,1271,1271
9356,-4442,9356
3131,6055,6055
5074,8897,8897
-9105,1168,1168
-668,-4956,-668
-8455,-2524,-2524
-7330,7147,7147
-4652,6677,6677
-8906,7828,7828
-9259,6065,6065
-8252,4172,4172
1656,-6811,1656
888,-4250,888
7099,1912,7099
-7971,-5281,-5281
5354,5646,5646
2100,-4734,2100
-6925,-5560,-5560
-5915,9528,9528
4865,4986,4986
-8477,2629,2629
8066,-3226,8066
-6739,-3292,-3292
2905,-6363,2905
8649,2258,8649
-9244,-3966,-3966
6333,-3741,6333
2350,-5244,2350
-265,971,971
-3321,2909,2909
-4246,-2864,-2864
-42,-9849,-42
-7462,-792,-792
180,5860,5860
-7868,9525,9525
-2091,2525,2525
7851,2376,7851
-1895,-2858,-1895
148,1003,1003
6127,-8670,6127
3450,1094,3450
8299,5588,8299
-2366,3721,3721
-7329,-7909,-7329
6679,-6386,6679
-5627,7068,7068
-4286,-8751,-4286
-2350,9021,9021
5177,-5415,5177
-1580,-3398,-1580
-4010,-3514,-3514
4021,-6905,4021
6965,-8481,6965
1511,6145,6145
9217,9406,9406
2822,-8624,2822
2169,-939,2169
8272,6027,8272
5569,2428,5569
7803,-2350,7803
1874,-3643,1874
-1638,-8532,-1638
-7003,2884,2884
-3997,-485,-485
-6961,8735,8735
-5605,-3287,-3287
2826,-3136,2826
-789,6928,6928
-7484,-9916,-7484
-9348,2345,2345
-1709,5705,5705
9000,-6182,9000
-7618,-4197,-4197
-6957,-2902,-2902
5713,-3191,5713
-6981,-1622,-1622
8760,-1006,8760
-6781,4764,4764
9916,-6471,9916
9834,-6187,9834
8167,4072,8167
-6117,-3374,-3374
-4749,-9808,-4749
-6377,-1468,-1468
-4804,1420,1420
6801,-790,6801
6939,-3733,6939
8016,-5518,8016
-6217,39,39
6571,5802,6571
-2879,229,229
-4185,-2118,-2118
-9765,-7742,-7742
7760,9316,9316
6144,-1979,6144
664,-5019,664
-4075,523,523
9103,1148,9103
4695,-2473,4695
3194,-9014,3194
-401,-7816,-401
3792,5931,5931
-8503,2566,2566
8149,4648,8149
-1598,-3560,-1598
2059,7274,7274
-3375,8612,8612
5599,7192,7192
-2047,580,580
-5284,3103,3103
-6640,9050,9050
-3323,-2421,-2421
7960,-6427,7960
1797,-3537,1797
-8566,1418,1418
8930,4738,8930
3809,5529,5529
2619,8982,8982
3134,1919,3134
-8955,1383,1383
-1462,8838,8838
9533,-9914,9533
1382,-5617,1382
415,-4602,415
-8244,-8039,-8039
3172,8987,8987
-2481,6306,6306
9867,5697,9867
493,2861,2861
-8437,7037,7037
-7318,-7754,-7318
3606,-1778,3606
7110,6595,7110
-4590,-9696,-4590
-2563,-8840,-2563
6926,-7185,6926
-5658,4081,4081
-2914,5207,5207
1489,9787,9787
-4958,-6414,-4958
-1083,8057,8057
1504,-7366,1504
9437,-8447,9437
7507,2642,7507
-8178,1415,1415
-5334,-9839,-5334
5590,2190,5590
1657,-9947,1657
4758,-2882,4758
-3359,5042,5042
-1443,2732,2732
7107,3293,7107
-5667,3237,3237
639,-6774,639
-448,-8807,-448
-133,5366,5366
-1629,7037,7037
-7746,5003,5003
-6419,-1255,-1255
2036,-7431,2036
3613,6892,6892
-8592,-3911,-3911
259,4693,4693
-2572,9247,9247
-3059,2777,2777
-5842,-6879,-5842
7560,8353,8353
-6340,-2812,-2812
9712,9268,9712
2614,-5502,2614
307,470,470
5961,-2711,5961
721,-4643,721
7673,-8540,7673
-1976,-8405,-1976
-1423,9457,9457
1880,1597,1880
-2431,-6176,-2431
-9241,5535,5535
-6110,396,396
-3245,-6352,-3245
-8291,-1357,-1357
-6288,6255,6255
1492,1173,1492
-3293,-9522,-3293
4731,7654,7654
-4178,-8177,-4178
-3845,-2855,-2855
9323,-8846,9323
-7557,-1892,-1892
-4171,2520,2520
-1303,-1535,-1303
9110,-4807,9110
-3881,-4778,-3881
2487,9103,9103
1410,-2452,1410
2659,-3260,2659
-2380,-7570,-2380
3428,8139,8139
-6131,1996,1996
-5591,4509,4509
7769,168,7769
3515,-8579,3515
9998,137,9998
7900,-9162,7900
3629,-8796,3629
3570,-7420,3570
2313,8995,8995
-4523,6863,6863
5347,2857,5347
6123,539,6123
-1633,9013,9013
6780,-3731,6780
2956,-9686,2956
-1690,3251,3251
9041,7815,9041
-2,-4020,-2
-4045,6430,6430
2957,-4612,2957
4616,7233,7233
-7329,3344,3344
-8874,7697,7697
-3540,-3648,-3540
5394,6562,6562
-4253,8251,8251
2187,6983,6983
7812,9724,9724
-7109,4302,4302
-2710,2130,2130
-7326,9802,9802
1808,7617,7617
5335,6335,6335
-8965,-319,-319
-7503,-5897,-5897
-3268,1047,1047
-8048,-5532,-5532
1052,9968,9968
656,8621,8621
-6340,1054,1054
-7441,-5238,-5238
5186,-63,5186
2503,4293,4293
-4912,1642,1642
7577,6985,7577
-9098,808,808
1057,-4851,1057
8565,412,8565
8554,4649,8554
-4139,-9538,-4139
9991,-4331,9991
-1418,8397,8397
-8632,6582,6582
3329,-435,3329
5574,3548,5574
-5453,2901,2901
-1992,-8463,-1992
-2576,2536,2536
-1445,3755,3755
-7684,-3011,-3011
351,1410,1410
-7876,-8106,-7876
5933,1572,5933
3713,-9098,3713
6601,3547,6601
3463,4196,4196
-3833,-7014,-3833
-1603,-9073,-1603
-5361,-5402,-5361
-1342,5655,5655
-8984,-2180,-2180
2468,6988,6988
-5171,5766,5766
-3647,5396,5396
-6253,9619,9619
8382,-4850,8382
-7900,-1118,-1118
8923,7776,8923
-9756,4973,4973
2918,9586,9586
-8543,7562,7562
