i0,i1,o0
4518,4759,9277
9561,8184,17745
623,5890,6513
750,2334,3084
7511,1304,8815
8945,1928,10873
1221,8010,9231
285,4817,5102
4761,4660,9421
6197,7643,13840
8216,4802,13018
9284,3154,12438
9859,8170,18029
8614,7712,16326
725,9678,10403
3149,7800,10949
5610,1749,7359
7839,2208,10047
834,5257,6091
3463,2300,5763
3498,8188,11686
537,6332,6869
3916,8636,12552
8421,4964,13385
3637,354,3991
8259,9307,17566
9172,4470,13642
8784,138,8922
3961,4932,8893
605,551,1156
8219,8526,16745
4575,4140,8715
3145,9784,12929
1337,938,2275
725,1603,2328
3693,7046,10739
4959,3931,8890
2020,2306,4326
9561,8429,17990
7824,7991,15815
9836,894,10730
717,8679,9396
5592,5494,11086
6799,5905,12704
2642,6469,9111
9481,4553,14034
4015,5810,9825
2937,6786,9723
2572,2962,5534
9694,5925,15619
4523,9265,13788
3150,3034,6184
5433,4048,9481
6070,3226,9296
4072,4387,8459
927,8640,9567
9804,2431,12235
8164,8191,16355
986,1744,2730
3315,3431,6746
7245,1138,8383
3472,3057,6529
1221,7727,8948
7087,8116,15203
2424,9770,12194
5490,8629,14119
1789,1276,3065
9281,109,9390
998,3013,4011
6810,3918,10728
6910,2645,9555
6365,3676,10041
2895,9585,12480
875,33,908
966,5100,6066
4417,1282,5699
7140,2743,9883
3977,4336,8313
3898,545,4443
3111,5225,8336
8510,7214,15724
758,3598,4356
7479,7875,15354
2299,6512,8811
6450,6677,13127
7393,9710,17103
9971,4493,14464
1644,9150,10794
3716,4747,8463
4801,3691,8492
4832,2821,7653
3632,7634,11266
8806,7041,15847
5370,3507,8877
3091,2814,5905
8993,7794,16787
2581,4407,6988
6248,2999,9247
6240,7325,13565
2472,9676,12148
6685,574,7259
1843,9805,11648
1614,2773,4387
8788,5362,14150
9162,2706,11868
4530,5665,10195
6796,8975,15771
9906,8819,18725
8158,1305,9463
2460,5013,7473
5004,6689,11693
4185,7690,11875
6481,3470,9951
912,2473,3385
3269,272,3541
7140,4114,11254
3375,1368,4743
392,4624,5016
3940,1937,5877
7078,9141,16219
2891,5447,8338
5549,6738,12287
855,8251,9106
4036,9584,13620
2863,4734,7597
2310,4914,7224
4383,3276,7659
5771,6190,11961
7949,7679,15628
6860,4067,10927
3848,7886,11734
9040,5801,14841
4242,9639,13881
5673,5751,11424
7290,6092,13382
466,4168,4634
4874,1072,5946
8848,6214,15062
8085,5181,13266
5489,1491,6980
8035,294,8329
2656,9119,11775
510,8722,9232
163,4539,4702
3233,6024,9257
4646,1266,5912
5044,2789,7833
6739,8546,15285
294,5338,5632
7901,1981,9882
6982,6284,13266
5475,1464,6939
7492,34,7526
6421,5329,11750
8101,8628,16729
7930,9848,17778
8457,4763,13220
6299,3587,9886
5518,580,6098
2072,1469,3541
7448,7322,14770
6943,89,7032
1555,545,2100
517,3128,3645
7084,349,7433
9180,432,9612
3823,868,4691
626,6516,7142
1164,4033,5197
402,3717,4119
6936,6707,13643
1397,159,1556
513,2456,2969
6356,9634,15990
8364,2446,10810
116,7863,7979
1158,2155,3313
6161,9781,15942
6270,5046,11316
5096,9847,14943
4120,8191,12311
3012,6202,9214
9842,7336,17178
8304,823,9127
3435,1074,4509
3540,4336,7876
8461,931,9392
4246,1501,5747
7332,9144,16476
3369,6636,10005
1810,2780,4590
4951,764,5715
8791,8697,17488
9029,4319,13348
6496,9797,16293
5097,1456,6553
6503,846,7349
4326,9615,13941
1416,9769,11185
5219,6376,11595
2458,3955,6413
3836,8235,12071
4477,5656,10133
5066,5515,10581
9760,1258,11018
2288,1738,4026
3353,3517,6870
4618,6866,11484
9218,3643,12861
9008,1196,10204
142,9635,9777
8400,9850,18250
2952,3560,6512
4792,2261,7053
819,7209,8028
2219,8148,10367
9783,3057,12840
1843,8115,9958
5073,5965,11038
2536,7807,10343
8802,9645,18447
430,5391,5821
3692,3250,6942
2831,8640,11471
48,6957,7005
631,7445,8076
3935,8959,12894
6056,8140,14196
8402,3449,11851
5134,8590,13724
5208,5556,10764
1918,5135,7053
4849,9577,14426
1876,9469,11345
6597,4251,10848
3379,2365,5744
477,4962,5439
2657,5102,7759
732,305,1037
3783,2370,6153
2987,9346,12333
3708,2449,6157
1292,2458,3750
9844,7836,17680
1777,5754,7531
9801,9398,19199
2593,9236,11829
3363,7548,10911
7513,4051,11564
1696,8599,10295
4914,9841,14755
6780,9884,16664
2569,3211,5780
6679,6877,13556
4698,7157,11855
9922,5962,15884
6098,8374,14472
3547,5173,8720
3920,2003,5923
9710,8446,18156
4984,8626,13610
7477,7155,14632
9507,280,9787
8529,4159,12688
7241,9443,16684
7938,249,8187
3893,1370,5263
1334,9616,10950
2683,6941,9624
6074,4285,10359
8846,5648,14494
4947,7330,12277
4049,5944,9993
545,5968,6513
471,6462,6933
81,117,198
9278,4568,13846
1847,1261,3108
6494,1135,7629
5518,364,5882
8391,779,9170
4684,3321,8005
3091,953,4044
5200,4242,9442
6284,7436,13720
5868,5948,11816
2868,6358,9226
2680,680,3360
1856,5736,7592
9103,7201,16304
8258,9487,17745
4605,1951,6556
1294,6436,7730
3874,6712,10586
7828,7060,14888
4981,9132,14113
2445,6339,8784
2520,6252,8772
5555,3121,8676
5542,631,6173
5094,9919,15013
4367,9123,13490
1272,6945,8217
4477,8678,13155
1945,1649,3594
6531,8991,15522
2631,9570,12201
7275,3116,10391
7386,3873,11259
9382,8072,17454
902,8947,9849
2843,18,2861
1685,2462,4147
962,5809,6771
8132,3988,12120
868,4206,5074
5981,6544,12525
2909,4021,6930
7719,2262,9981
8181,2759,10940
8814,1191,10005
3852,5773,9625
1760,5739,7499
7241,4983,12224
1462,5304,6766
521,8510,9031
6627,7490,14117
4982,7525,12507
5177,5253,10430
896,9628,10524
6012,9162,15174
1749,8441,10190
9534,8783,18317
6941,4571,11512
58,1093,1151
2553,7021,9574
3767,8992,12759
4824,1543,6367
416,645,1061
4839,6197,11036
1903,313,2216
1929,4048,5977
1248,5199,6447
1543,5069,6612
4063,8398,12461
3607,7100,10707
9688,1136,10824
4881,5203,10084
6247,7942,14189
2368,8699,11067
4669,8293,12962
1362,2855,4217
3442,4825,8267
2146,6171,8317
6794,1046,7840
366,528,894
5512,3310,8822
4739,4830,9569
4526,4094,8620
7970,3699,11669
9976,460,10436
5995,699,6694
6891,9517,16408
5085,3101,8186
4510,1498,6008
1321,2176,3497
9664,4002,13666
3004,5498,8502
8988,7171,16159
1727,7254,8981
3787,188,3975
5001,5479,10480
4618,791,5409
5493,6930,12423
7028,9935,16963
7615,3973,11588
2318,97,2415
8907,3953,12860
9625,3934,13559
7955,9877,17832
1181,7900,9081
4853,7175,12028
916,8750,9666
6337,7464,13801
5386,517,5903
1819,2200,4019
467,9845,10312
4813,338,5151
7552,7096,14648
6967,5864,12831
1798,6140,7938
4110,764,4874
6429,2773,9202
8510,3105,11615
4009,7852,11861
1771,2205,3976
4733,8847,13580
6212,9807,16019
6377,7515,13892
6784,8217,15001
9640,5573,15213
6431,6799,13230
8119,5593,13712
1988,4972,6960
1063,5969,7032
3221,7039,10260
8182,9005,17187
2978,129,3107
206,4070,4276
1395,8209,9604
2969,7246,10215
2306,3160,5466
8707,6997,15704
2574,6671,9245
8053,440,8493
8696,9269,17965
4817,4468,9285
6480,7734,14214
5270,2529,7799
9731,1250,10981
1378,3486,4864
9782,2212,11994
6189,5824,12013
8253,9726,17979
6551,6313,12864
6959,7778,14737
7732,7327,15059
4188,3455,7643
8880,407,9287
3664,3866,7530
6531,3192,9723
3083,2708,5791
5074,1411,6485
1922,8409,10331
5933,6180,12113
4854,4713,9567
7745,2608,10353
4629,8964,13593
2224,895,3119
216,8169,8385
6433,1927,8360
3342,6203,9545
3508,9327,12835
1340,1526,2866
3883,9014,12897
3164,7088,10252
6385,1954,8339
5864,1556,7420
2869,9964,12833
7351,9463,16814
4485,1384,5869
6157,4288,10445
1602,8800,10402
8697,8293,16990
4932,794,5726
7815,2428,10243
1602,6367,7969
4337,3379,7716
5844,4216,10060
7154,9820,16974
5951,2260,8211
6809,1648,8457
1550,4317,5867
2696,5671,8367
8074,7516,15590
8124,4894,13018
3979,1194,5173
6746,6734,13480
8752,8676,17428
1682,7867,9549
2272,8580,10852
6614,8820,15434
4067,1110,5177
7095,6824,13919
5184,8035,13219
7448,4266,11714
6634,8821,15455
5480,2345,7825
232,8839,9071
4258,9613,13871
4297,428,4725
1813,3400,5213
1191,3679,4870
6672,5258,11930
7723,4310,12033
1855,2390,4245
8646,2869,11515
2927,2169,5096
1316,4786,6102
5924,4722,10646
4702,6316,11018
8059,9514,17573
7041,5912,12953
7366,8514,15880
4092,1992,6084
154,6430,6584
2535,3709,6244
693,503,1196
4042,1151,5193
990,2431,3421
2289,7574,9863
9934,6157,16091
9913,3673,13586
2050,4106,6156
1270,9804,11074
8367,4746,13113
329,2908,3237
9331,3148,12479
8233,9114,17347
8910,7244,16154
2296,1173,3469
426,1601,2027
4768,6719,11487
7269,5967,13236
9638,6893,16531
3423,8114,11537
408,5216,5624
820,9790,10610
7199,9975,17174
3549,7244,10793
7535,1587,9122
9023,446,9469
1694,8886,10580
7365,8382,15747
6253,3045,9298
471,8346,8817
4693,7357,12050
880,9389,10269
1085,3133,4218
1363,6652,8015
3082,1778,4860
2058,4919,6977
7038,2205,9243
5126,7186,12312
3723,8370,12093
267,9163,9430
4230,8057,12287
6960,5293,12253
877,6956,7833
8241,7920,16161
9756,6495,16251
1459,9417,10876
2165,9581,11746
1766,9152,10918
7218,7074,14292
8949,818,9767
7949,8468,16417
6809,4800,11609
2126,8180,10306
7974,836,8810
5745,1562,7307
455,1231,1686
7860,9543,17403
5431,7933,13364
7434,8022,15456
7451,881,8332
5150,6850,12000
6601,3617,10218
5925,5867,11792
7095,9801,16896
207,1230,1437
1882,5304,7186
8852,7840,16692
9058,4519,13577
7792,1864,9656
2773,5850,8623
6353,4383,10736
7959,9100,17059
9370,3119,12489
2198,8755,10953
2857,2424,5281
7191,7916,15107
636,1425,2061
6748,9176,15924
977,2949,3926
8280,9033,17313
3810,7641,11451
1699,6342,8041
6514,6458,12972
3156,7803,10959
3304,9414,12718
3627,6412,10039
125,5563,5688
2665,4957,7622
8276,174,8450
9900,908,10808
5113,3587,8700
149,8850,8999
9450,2905,12355
9857,1192,11049
9350,7823,17173
7605,44,7649
9521,7460,16981
9344,1351,10695
3576,6376,9952
8331,2762,11093
3179,3617,6796
9368,1047,10415
