i0,i1,i2,o0,o1,o2
16,177,-20,16,177,0
59,23,-59,59,23,0
130,-126,83,130,0,83
-187,-154,-174,0,0,0
-171,-191,-44,0,0,0
-100,185,-190,0,185,0
167,37,141,167,37,141
-50,-38,-55,0,0,0
121,-135,125,121,0,125
136,137,-123,136,137,0
-172,127,85,0,127,85
82,-184,52,82,0,52
168,70,-110,168,70,0
36,19,14,36,19,14
-65,149,-29,0,149,0
-199,86,69,0,86,69
-195,-30,-167,0,0,0
-75,-66,-67,0,0,0
52,-116,21,52,0,21
-30,-60,-173,0,0,0
74,18,162,74,18,162
-30,-174,44,0,0,44
-23,96,-30,0,96,0
-34,-114,190,0,0,190
138,-39,197,138,0,197
-139,-32,-195,0,0,0
137,-120,-123,137,0,0
-100,20,-17,0,20,0
79,-127,12,79,0,12
169,-182,160,169,0,160
73,-200,-72,73,0,0
-108,-69,-190,0,0,0
77,-86,-85,77,0,0
-200,75,-128,0,75,0
-41,-58,-11,0,0,0
170,193,-46,170,193,0
27,-146,58,27,0,58
-88,-174,-102,0,0,0
113,-112,179,113,0,179
-18,10,73,0,10,73
-43,-120,-79,0,0,0
104,91,148,104,91,148
112,-40,183,112,0,183
-129,91,-103,0,91,0
17,-130,-57,17,0,0
104,41,-20,104,41,0
-84,85,-63,0,85,0
71,-78,28,71,0,28
12,198,192,12,198,192
32,-168,53,32,0,53
147,-66,163,147,0,163
164,-184,178,164,0,178
175,26,100,175,26,100
-114,19,61,0,19,61
-13,-36,-173,0,0,0
65,115,-37,65,115,0
-152,109,73,0,109,73
109,-85,59,109,0,59
151,51,186,151,51,186
-121,15,-156,0,15,0
-91,63,45,0,63,45
183,22,-44,183,22,0
-100,77,4,0,77,4
-75,-134,-47,0,0,0
69,-40,-62,69,0,0
38,-120,-197,38,0,0
180,-48,175,180,0,175
136,88,-1,136,88,0
-75,3,135,0,3,135
-172,-100,1,0,0,1
162,-11,-159,162,0,0
125,167,128,125,167,128
-73,-59,-181,0,0,0
-31,86,192,0,86,192
2,-20,-107,2,0,0
155,-39,107,155,0,107
-58,-124,155,0,0,155
-154,-66,-113,0,0,0
-146,0,175,0,0,175
165,69,84,165,69,84
-101,-115,-75,0,0,0
135,-151,92,135,0,92
-50,187,-184,0,187,0
99,-175,195,99,0,195
-71,-30,-40,0,0,0
-162,-96,118,0,0,118
1,62,-65,1,62,0
-53,-20,41,0,0,41
-103,-184,187,0,0,187
131,-196,-144,131,0,0
-86,-161,-141,0,0,0
-193,-8,-170,0,0,0
-20,4,147,0,4,147
80,-172,-88,80,0,0
-175,-133,-22,0,0,0
-192,128,170,0,128,170
-5,119,-55,0,119,0
152,-34,-153,152,0,0
6,-197,-17,6,0,0
76,153,115,76,153,115
40,-38,-157,40,0,0
-65,127,-172,0,127,0
-140,-15,184,0,0,184
110,-123,118,110,0,118
194,163,62,194,163,62
40,42,-18,40,42,0
-38,158,11,0,158,11
-182,-44,146,0,0,146
76,14,160,76,14,160
132,117,-106,132,117,0
108,178,2,108,178,2
-4,21,-21,0,21,0
-10,-154,-72,0,0,0
-194,92,-34,0,92,0
7,24,119,7,24,119
-55,-118,-135,0,0,0
-10,-153,40,0,0,40
-7,86,102,0,86,102
134,-98,-116,134,0,0
-116,-136,48,0,0,48
185,49,-41,185,49,0
192,33,-110,192,33,0
19,90,-64,19,90,0
-124,-193,-24,0,0,0
-75,-83,6,0,0,6
-186,-114,152,0,0,152
-98,11,-165,0,11,0
-33,190,80,0,190,80
194,167,127,194,167,127
74,59,-71,74,59,0
71,-199,170,71,0,170
37,-95,193,37,0,193
16,148,-30,16,148,0
104,-125,-45,104,0,0
-2,-79,38,0,0,38
44,139,-11,44,139,0
101,191,-66,101,191,0
1,-176,21,1,0,21
-79,44,157,0,44,157
133,27,-26,133,27,0
157,-191,88,157,0,88
49,-64,-179,49,0,0
48,32,-28,48,32,0
-160,-141,75,0,0,75
181,-91,140,181,0,140
-169,78,44,0,78,44
-41,-43,37,0,0,37
-72,-148,91,0,0,91
43,-120,-111,43,0,0
-15,123,158,0,123,158
34,-174,177,34,0,177
63,125,38,63,125,38
-49,-53,155,0,0,155
-20,181,81,0,181,81
-143,102,80,0,102,80
-195,20,-77,0,20,0
-124,-117,171,0,0,171
190,-63,-109,190,0,0
78,-76,-174,78,0,0
77,-105,-100,77,0,0
-134,189,199,0,189,199
-24,-82,115,0,0,115
-164,-153,-178,0,0,0
113,-155,132,113,0,132
128,32,9,128,32,9
178,187,-25,178,187,0
179,-191,-150,179,0,0
173,137,75,173,137,75
-162,-61,-6,0,0,0
-102,-22,44,0,0,44
96,10,-100,96,10,0
-14,40,81,0,40,81
85,41,116,85,41,116
-67,-130,121,0,0,121
-132,-197,77,0,0,77
-151,-99,56,0,0,56
10,79,-66,10,79,0
49,160,62,49,160,62
85,-52,107,85,0,107
-185,68,114,0,68,114
56,92,139,56,92,139
99,-22,103,99,0,103
139,-18,81,139,0,81
142,44,93,142,44,93
155,-162,-64,155,0,0
-160,144,69,0,144,69
-155,158,-112,0,158,0
73,115,136,73,115,136
178,117,185,178,117,185
-190,-63,-51,0,0,0
53,47,87,53,47,87
17,72,-1,17,72,0
106,-121,24,106,0,24
-130,38,18,0,38,18
-111,-40,184,0,0,184
16,-43,-19,16,0,0
-157,-55,12,0,0,12
-74,-119,195,0,0,195
107,-93,182,107,0,182
7,114,-173,7,114,0
-48,27,-28,0,27,0
-111,-13,-150,0,0,0
-172,174,-167,0,174,0
191,-165,98,191,0,98
124,102,141,124,102,141
74,163,137,74,163,137
-186,31,-178,0,31,0
-95,-21,69,0,0,69
-147,-22,-163,0,0,0
73,63,71,73,63,71
10,-137,138,10,0,138
177,113,137,177,113,137
-198,44,-188,0,44,0
74,134,108,74,134,108
55,-65,-152,55,0,0
8,124,-76,8,124,0
-114,129,150,0,129,150
-5,19,-49,0,19,0
179,-183,15,179,0,15
145,-15,89,145,0,89
-65,-24,-136,0,0,0
117,-184,184,117,0,184
-11,100,-188,0,100,0
64,-129,56,64,0,56
178,-166,52,178,0,52
9,27,32,9,27,32
176,183,34,176,183,34
93,89,189,93,89,189
79,-172,-139,79,0,0
99,117,-161,99,117,0
15,-92,-130,15,0,0
-124,-32,-21,0,0,0
13,-198,-197,13,0,0
180,70,143,180,70,143
-148,-124,98,0,0,98
50,-35,139,50,0,139
-172,110,99,0,110,99
163,-118,83,163,0,83
-31,-12,-186,0,0,0
-146,-11,-45,0,0,0
76,-185,-111,76,0,0
27,-124,141,27,0,141
61,122,103,61,122,103
-154,-161,-16,0,0,0
80,-183,-31,80,0,0
-37,-168,16,0,0,16
66,99,193,66,99,193
-156,-110,57,0,0,57
-169,189,25,0,189,25
-63,103,141,0,103,141
-110,-140,5,0,0,5
180,53,-129,180,53,0
106,-185,-36,106,0,0
53,54,94,53,54,94
-125,-179,-61,0,0,0
152,-189,-160,152,0,0
-178,180,62,0,180,62
-104,132,-10,0,132,0
67,-146,80,67,0,80
109,77,-94,109,77,0
-153,183,-32,0,183,0
-68,31,146,0,31,146
166,177,59,166,177,59
30,-124,142,30,0,142
-67,56,11,0,56,11
-146,22,109,0,22,109
-47,18,65,0,18,65
-136,95,-170,0,95,0
-12,-131,177,0,0,177
-101,82,126,0,82,126
37,100,-127,37,100,0
161,-110,123,161,0,123
-121,135,-168,0,135,0
158,-177,-107,158,0,0
110,-169,-127,110,0,0
-33,147,-89,0,147,0
160,148,-170,160,148,0
-24,-3,-26,0,0,0
144,30,45,144,30,45
93,-93,-101,93,0,0
-142,-90,175,0,0,175
136,43,-186,136,43,0
41,129,-166,41,129,0
21,119,-196,21,119,0
122,-83,13,122,0,13
-157,-179,129,0,0,129
125,-98,76,125,0,76
116,-69,-14,116,0,0
135,165,-72,135,165,0
176,-69,-163,176,0,0
-45,89,-30,0,89,0
-159,178,29,0,178,29
-122,175,90,0,175,90
-107,-76,179,0,0,179
-7,-36,130,0,0,130
29,-43,142,29,0,142
-113,34,194,0,34,194
130,-48,114,130,0,114
-166,-116,94,0,0,94
63,81,28,63,81,28
158,-8,102,158,0,102
-146,-108,116,0,0,116
133,-101,-142,133,0,0
-188,-142,-164,0,0,0
5,-19,196,5,0,196
-185,54,68,0,54,68
-186,80,48,0,80,48
-49,-14,58,0,0,58
-196,170,-153,0,170,0
-18,196,-174,0,196,0
63,13,-12,63,13,0
157,-188,-71,157,0,0
-123,106,71,0,106,71
95,67,125,95,67,125
157,113,-137,157,113,0
-182,64,-177,0,64,0
143,3,80,143,3,80
182,-111,67,182,0,67
106,168,159,106,168,159
-33,-116,172,0,0,172
30,169,181,30,169,181
121,-194,12,121,0,12
165,177,-167,165,177,0
-87,-184,-70,0,0,0
15,122,57,15,122,57
129,10,-18,129,10,0
-21,-125,-199,0,0,0
-124,35,104,0,35,104
-118,-159,-105,0,0,0
-139,-171,78,0,0,78
48,-117,-168,48,0,0
-141,-35,102,0,0,102
16,-159,144,16,0,144
-18,-168,86,0,0,86
183,26,-82,183,26,0
-177,-99,-131,0,0,0
32,150,-170,32,150,0
198,-192,-145,198,0,0
-179,76,81,0,76,81
-177,-85,36,0,0,36
164,31,50,164,31,50
-68,143,-155,0,143,0
2,113,81,2,113,81
-71,15,-125,0,15,0
173,-38,174,173,0,174
-100,-21,-50,0,0,0
-24,-188,88,0,0,88
-186,-1,-143,0,0,0
21,181,35,21,181,35
-115,-81,-105,0,0,0
56,-115,194,56,0,194
110,-59,161,110,0,161
2,-171,96,2,0,96
94,128,121,94,128,121
-27,102,158,0,102,158
31,-128,63,31,0,63
-45,-193,113,0,0,113
-20,75,-81,0,75,0
-23,-170,154,0,0,154
-77,36,138,0,36,138
-168,164,190,0,164,190
-118,-20,-125,0,0,0
-183,180,150,0,180,150
-172,-82,-31,0,0,0
129,-12,-127,129,0,0
27,-117,169,27,0,169
-58,-200,-17,0,0,0
-176,-8,57,0,0,57
-52,2,39,0,2,39
51,-200,1,51,0,1
64,-58,-137,64,0,0
167,19,-193,167,19,0
63,21,131,63,21,131
-42,164,-34,0,164,0
-191,-66,-26,0,0,0
-119,76,-19,0,76,0
103,-184,-39,103,0,0
-27,1,-3,0,1,0
90,-56,109,90,0,109
105,-130,-172,105,0,0
117,-159,177,117,0,177
23,49,-139,23,49,0
-115,28,-48,0,28,0
-87,89,-39,0,89,0
165,132,143,165,132,143
-37,-105,-64,0,0,0
35,-93,-149,35,0,0
-200,-72,190,0,0,190
-151,136,-184,0,136,0
-115,113,-20,0,113,0
150,-68,2,150,0,2
159,-73,163,159,0,163
-170,-163,193,0,0,193
-68,-189,-59,0,0,0
-81,158,188,0,158,188
-153,141,68,0,141,68
98,-98,-153,98,0,0
11,197,135,11,197,135
132,179,-34,132,179,0
72,180,-14,72,180,0
157,1,-71,157,1,0
-10,106,13,0,106,13
-44,146,107,0,146,107
68,-5,16,68,0,16
87,86,21,87,86,21
-20,29,-107,0,29,0
-118,194,31,0,194,31
75,-179,153,75,0,153
177,163,-93,177,163,0
9,125,189,9,125,189
-107,39,180,0,39,180
-135,40,140,0,40,140
37,95,-196,37,95,0
-58,-106,7,0,0,7
-43,-39,-1,0,0,0
86,-78,-188,86,0,0
24,0,39,24,0,39
192,104,162,192,104,162
30,-76,123,30,0,123
51,-146,-149,51,0,0
167,-81,87,167,0,87
134,-41,76,134,0,76
86,189,161,86,189,161
147,-130,-71,147,0,0
-89,16,-146,0,16,0
-48,42,-121,0,42,0
-170,188,155,0,188,155
106,90,36,106,90,36
-95,189,-107,0,189,0
29,132,126,29,132,126
93,-166,165,93,0,165
91,-190,-59,91,0,0
-149,151,-66,0,151,0
-152,-56,1,0,0,1
114,127,22,114,127,22
-54,-174,176,0,0,176
104,199,142,104,199,142
-97,-68,-63,0,0,0
158,-79,35,158,0,35
121,-169,13,121,0,13
-22,-199,67,0,0,67
81,105,-130,81,105,0
-156,-191,87,0,0,87
-186,-41,29,0,0,29
162,-28,128,162,0,128
77,13,-43,77,13,0
103,193,-134,103,193,0
-58,-39,40,0,0,40
-11,-92,-91,0,0,0
47,15,144,47,15,144
166,-26,-109,166,0,0
-126,108,-166,0,108,0
101,163,158,101,163,158
-102,107,-60,0,107,0
-48,-163,142,0,0,142
-49,199,109,0,199,109
-137,-67,-186,0,0,0
194,-111,-137,194,0,0
2,75,107,2,75,107
-62,172,-130,0,172,0
-29,-94,16,0,0,16
-28,-82,165,0,0,165
70,-102,-45,70,0,0
-135,-72,87,0,0,87
49,-135,-115,49,0,0
155,92,25,155,92,25
-100,169,9,0,169,9
47,-129,173,47,0,173
-171,113,84,0,113,84
-131,13,8,0,13,8
92,-187,-148,92,0,0
11,-16,-44,11,0,0
-14,-145,-61,0,0,0
-98,-84,102,0,0,102
171,-55,-62,171,0,0
133,-68,85,133,0,85
75,190,-121,75,190,0
-91,-158,-82,0,0,0
34,79,-51,34,79,0
52,-4,-67,52,0,0
-165,118,175,0,118,175
75,-186,-146,75,0,0
137,151,-74,137,151,0
-195,63,169,0,63,169
92,-54,-54,92,0,0
181,-108,33,181,0,33
-189,-111,-114,0,0,0
37,140,106,37,140,106
-23,-162,4,0,0,4
-180,-35,-82,0,0,0
-119,-46,-139,0,0,0
-121,-25,-155,0,0,0
-136,49,2,0,49,2
7,-102,-27,7,0,0
101,-146,-155,101,0,0
104,53,-5,104,53,0
147,44,-8,147,44,0
-162,-95,60,0,0,60
124,38,-31,124,38,0
5,184,-106,5,184,0
131,9,136,131,9,136
133,-198,-87,133,0,0
129,-31,-180,129,0,0
83,-172,75,83,0,75
-67,-12,181,0,0,181
149,-126,-86,149,0,0
6,170,-60,6,170,0
95,29,-194,95,29,0
20,-116,-4,20,0,0
-75,80,186,0,80,186
-36,-38,-79,0,0,0
18,-155,134,18,0,134
20,134,78,20,134,78
-104,-84,21,0,0,21
-6,-5,-97,0,0,0
37,83,162,37,83,162
191,-56,102,191,0,102
-164,-169,-72,0,0,0
103,-71,79,103,0,79
-183,138,-1,0,138,0
-71,-99,177,0,0,177
-93,154,164,0,154,164
-65,-86,-65,0,0,0
5,3,108,5,3,108
51,1,11,51,1,11
-58,75,109,0,75,109
-179,-45,64,0,0,64
130,125,70,130,125,70
80,-51,191,80,0,191
-49,8,-50,0,8,0
111,147,197,111,147,197
127,198,-70,127,198,0
56,131,118,56,131,118
-165,38,172,0,38,172
65,103,-34,65,103,0
-194,-71,-14,0,0,0
-27,-86,99,0,0,99
128,-78,-89,128,0,0
14,35,105,14,35,105
-13,174,-171,0,174,0
167,178,76,167,178,76
-144,126,-99,0,126,0
-97,91,-95,0,91,0
-123,121,19,0,121,19
64,-91,136,64,0,136
-169,-151,174,0,0,174
-43,-4,106,0,0,106
-165,17,179,0,17,179
142,-46,-26,142,0,0
162,61,151,162,61,151
197,49,-76,197,49,0
136,97,-114,136,97,0
116,-153,-195,116,0,0
29,35,-21,29,35,0
-153,-121,29,0,0,29
-194,39,97,0,39,97
-5,142,168,0,142,168
188,-143,-176,188,0,0
-155,180,188,0,180,188
121,-101,-128,121,0,0
28,111,-188,28,111,0
-49,75,181,0,75,181
198,-166,124,198,0,124
-46,3,108,0,3,108
-180,118,86,0,118,86
114,60,-25,114,60,0
57,-67,48,57,0,48
-75,65,-140,0,65,0
12,71,40,12,71,40
-45,183,-106,0,183,0
71,11,-86,71,11,0
81,154,-155,81,154,0
69,-137,-94,69,0,0
67,-197,19,67,0,19
186,-28,-142,186,0,0
185,-178,-119,185,0,0
-16,62,-52,0,62,0
39,-48,55,39,0,55
48,128,-179,48,128,0
-142,93,-177,0,93,0
-196,13,58,0,13,58
77,131,106,77,131,106
60,107,190,60,107,190
-154,140,95,0,140,95
51,60,12,51,60,12
182,164,-196,182,164,0
-39,153,143,0,153,143
-104,58,173,0,58,173
147,-77,190,147,0,190
69,90,-97,69,90,0
76,33,18,76,33,18
-82,-94,-100,0,0,0
64,-162,-42,64,0,0
180,136,120,180,136,120
159,-100,142,159,0,142
192,31,-168,192,31,0
7,132,-52,7,132,0
-163,-150,99,0,0,99
120,-21,-54,120,0,0
21,-2,-152,21,0,0
84,168,4,84,168,4
155,-168,-173,155,0,0
-141,-48,69,0,0,69
102,14,8,102,14,8
-59,85,-110,0,85,0
17,-132,-41,17,0,0
18,94,96,18,94,96
125,-90,75,125,0,75
114,96,-9,114,96,0
-193,151,49,0,151,49
-46,109,54,0,109,54
-63,157,-3,0,157,0
-76,-145,-23,0,0,0
125,29,105,125,29,105
82,77,-158,82,77,0
-153,38,-119,0,38,0
-95,-81,-187,0,0,0
49,193,70,49,193,70
122,-33,6,122,0,6
38,-187,3,38,0,3
187,132,98,187,132,98
-100,106,-64,0,106,0
114,-97,25,114,0,25
-166,162,55,0,162,55
186,8,65,186,8,65
-164,109,116,0,109,116
-96,-4,-8,0,0,0
-12,27,-133,0,27,0
110,-32,105,110,0,105
-26,-159,-121,0,0,0
195,122,-121,195,122,0
-159,-141,94,0,0,94
197,-91,178,197,0,178
-89,70,167,0,70,167
-127,-78,-2,0,0,0
87,126,28,87,126,28
-130,70,37,0,70,37
166,-122,157,166,0,157
102,0,91,102,0,91
-136,73,-92,0,73,0
137,160,-136,137,160,0
-197,-66,-163,0,0,0
-2,-182,-160,0,0,0
69,109,162,69,109,162
-16,42,154,0,42,154
-180,-134,95,0,0,95
-87,53,-71,0,53,0
-114,-75,-54,0,0,0
-114,144,-185,0,144,0
-74,-152,190,0,0,190
-24,-161,-177,0,0,0
115,126,95,115,126,95
78,-100,122,78,0,122
-155,-57,160,0,0,160
23,-72,-165,23,0,0
-200,-128,54,0,0,54
72,100,-47,72,100,0
103,36,32,103,36,32
34,157,57,34,157,57
-84,-6,-73,0,0,0
-154,13,93,0,13,93
195,-59,-55,195,0,0
-92,-148,-131,0,0,0
169,186,-16,169,186,0
91,14,104,91,14,104
99,27,116,99,27,116
115,48,-98,115,48,0
-142,-159,-21,0,0,0
-79,185,0,0,185,0
-4,165,188,0,165,188
80,178,-6,80,178,0
177,-173,-95,177,0,0
174,183,-123,174,183,0
-50,130,6,0,130,6
22,142,-182,22,142,0
17,29,-105,17,29,0
129,150,4,129,150,4
138,84,99,138,84,99
197,26,-63,197,26,0
-196,144,184,0,144,184
11,-44,72,11,0,72
-126,-192,-106,0,0,0
-87,98,156,0,98,156
-129,53,-188,0,53,0
160,-79,-72,160,0,0
82,-73,161,82,0,161
13,-126,32,13,0,32
27,-156,197,27,0,197
182,-86,-167,182,0,0
186,-40,-124,186,0,0
-104,-172,-67,0,0,0
108,-10,39,108,0,39
126,25,-121,126,25,0
147,129,34,147,129,34
150,165,85,150,165,85
87,94,-83,87,94,0
-97,-4,-62,0,0,0
-25,70,-167,0,70,0
41,67,88,41,67,88
136,53,58,136,53,58
2,181,35,2,181,35
158,-32,66,158,0,66
85,21,123,85,21,123
157,111,143,157,111,143
59,0,128,59,0,128
-180,182,-68,0,182,0
-83,145,-15,0,145,0
21,-51,76,21,0,76
126,36,-146,126,36,0
-128,-33,123,0,0,123
-169,-117,13,0,0,13
60,108,-96,60,108,0
-57,183,163,0,183,163
126,-106,-171,126,0,0
107,48,199,107,48,199
-131,-119,-94,0,0,0
-165,-3,-38,0,0,0
147,-192,43,147,0,43
66,-150,-82,66,0,0
-108,-85,-142,0,0,0
64,25,-132,64,25,0
133,-134,-133,133,0,0
37,173,74,37,173,74
59,-101,174,59,0,174
144,-63,-105,144,0,0
171,76,-78,171,76,0
-15,37,157,0,37,157
-99,-116,-181,0,0,0
90,128,-30,90,128,0
-80,-73,144,0,0,144
176,105,-12,176,105,0
67,159,-108,67,159,0
129,31,61,129,31,61
191,-99,39,191,0,39
-126,50,175,0,50,175
38,-5,-25,38,0,0
-131,-117,-12,0,0,0
-88,120,-188,0,120,0
112,-19,133,112,0,133
-118,178,-129,0,178,0
-16,-135,-43,0,0,0
186,178,-165,186,178,0
101,44,-10,101,44,0
-4,185,-185,0,185,0
-163,4,69,0,4,69
-140,45,-49,0,45,0
-87,119,36,0,119,36
-67,-170,73,0,0,73
176,-175,14,176,0,14
147,22,68,147,22,68
70,193,-83,70,193,0
-111,174,-188,0,174,0
112,-30,55,112,0,55
-88,199,-138,0,199,0
54,65,32,54,65,32
4,-31,-111,4,0,0
-160,120,128,0,120,128
15,-14,-139,15,0,0
194,-96,-81,194,0,0
94,10,178,94,10,178
22,28,139,22,28,139
185,-111,-132,185,0,0
-147,-90,37,0,0,37
198,191,-78,198,191,0
106,143,-115,106,143,0
-190,2,-14,0,2,0
-187,199,-26,0,199,0
-180,169,-34,0,169,0
-164,-93,104,0,0,104
-195,171,83,0,171,83
191,34,-35,191,34,0
35,0,15,35,0,15
25,118,78,25,118,78
78,-89,52,78,0,52
123,70,165,123,70,165
-113,59,-14,0,59,0
59,-158,-59,59,0,0
-191,-24,195,0,0,195
117,82,118,117,82,118
74,13,-6,74,13,0
52,-175,85,52,0,85
-195,-108,-118,0,0,0
-111,-146,-153,0,0,0
140,52,7,140,52,7
171,-153,79,171,0,79
-189,-155,-118,0,0,0
118,118,-60,118,118,0
91,79,-176,91,79,0
-180,-156,-161,0,0,0
-160,-186,-93,0,0,0
157,93,18,157,93,18
198,172,-3,198,172,0
36,-39,-129,36,0,0
-23,140,-183,0,140,0
-171,127,108,0,127,108
-27,-79,-149,0,0,0
-193,-73,24,0,0,24
31,-7,108,31,0,108
-192,148,-114,0,148,0
-187,-33,-191,0,0,0
19,106,94,19,106,94
-38,139,-162,0,139,0
143,-133,135,143,0,135
-54,108,10,0,108,10
82,-129,-112,82,0,0
131,130,183,131,130,183
-46,-23,-66,0,0,0
46,159,33,46,159,33
-178,99,-183,0,99,0
-132,178,192,0,178,192
77,-128,-157,77,0,0
-130,11,-66,0,11,0
-20,7,-167,0,7,0
-55,175,21,0,175,21
-111,21,-156,0,21,0
74,14,114,74,14,114
-36,96,133,0,96,133
52,152,-192,52,152,0
-42,168,146,0,168,146
117,-151,125,117,0,125
61,-83,138,61,0,138
199,-92,-113,199,0,0
-59,17,-146,0,17,0
75,34,67,75,34,67
-178,177,145,0,177,145
56,8,-84,56,8,0
-102,78,90,0,78,90
154,-77,170,154,0,170
10,73,-51,10,73,0
-199,6,-181,0,6,0
186,-144,153,186,0,153
163,-63,-71,163,0,0
28,-118,-197,28,0,0
44,-1,-2,44,0,0
-73,97,84,0,97,84
-75,-178,16,0,0,16
-15,-102,-105,0,0,0
-120,-4,-16,0,0,0
40,12,-164,40,12,0
147,-154,-24,147,0,0
168,97,-178,168,97,0
-61,-80,-115,0,0,0
191,-63,147,191,0,147
107,-152,148,107,0,148
-135,29,-8,0,29,0
-37,-49,152,0,0,152
12,-115,50,12,0,50
-168,-123,-8,0,0,0
-53,116,143,0,116,143
10,123,-103,10,123,0
-41,-189,36,0,0,36
-145,-101,173,0,0,173
171,-167,191,171,0,191
81,-47,-26,81,0,0
-35,-152,192,0,0,192
-63,-170,198,0,0,198
129,-146,109,129,0,109
5,107,-97,5,107,0
-164,-68,-24,0,0,0
152,-145,112,152,0,112
-23,-99,-195,0,0,0
-116,-130,-10,0,0,0
-97,73,190,0,73,190
146,13,-173,146,13,0
-118,-77,-11,0,0,0
-88,100,-140,0,100,0
-130,-53,6,0,0,6
-179,-68,-137,0,0,0
-79,64,190,0,64,190
-102,-56,44,0,0,44
118,22,-48,118,22,0
-163,-184,-136,0,0,0
-95,-157,15,0,0,15
99,-148,-113,99,0,0
16,-52,189,16,0,189
42,47,-139,42,47,0
-182,175,-60,0,175,0
-82,77,145,0,77,145
-83,-49,-29,0,0,0
-49,-16,161,0,0,161
40,-156,155,40,0,155
-182,-145,86,0,0,86
23,95,10,23,95,10
143,-82,16,143,0,16
121,70,124,121,70,124
-97,-36,157,0,0,157
89,185,-91,89,185,0
-58,-179,-159,0,0,0
199,-39,-110,199,0,0
-154,79,138,0,79,138
-7,-196,-63,0,0,0
96,111,-16,96,111,0
-102,-47,23,0,0,23
82,157,125,82,157,125
-86,6,92,0,6,92
74,25,-131,74,25,0
144,13,-143,144,13,0
-139,61,18,0,61,18
74,-181,122,74,0,122
-132,-85,60,0,0,60
186,30,-143,186,30,0
-156,-163,28,0,0,28
126,-120,-8,126,0,0
-192,-89,-123,0,0,0
-196,83,155,0,83,155
77,-81,-41,77,0,0
149,87,155,149,87,155
-127,57,8,0,57,8
83,100,-150,83,100,0
-52,-25,108,0,0,108
116,88,131,116,88,131
-116,-147,34,0,0,34
-38,-183,-89,0,0,0
93,-150,-5,93,0,0
-78,90,-21,0,90,0
-49,159,147,0,159,147
71,86,125,71,86,125
41,179,-68,41,179,0
96,-134,-147,96,0,0
183,88,114,183,88,114
18,16,-15,18,16,0
-114,-13,43,0,0,43
172,-174,-192,172,0,0
72,12,179,72,12,179
-2,184,-56,0,184,0
93,14,-185,93,14,0
-5,-77,128,0,0,128
-191,0,-117,0,0,0
-12,-178,85,0,0,85
17,102,-178,17,102,0
-161,98,-130,0,98,0
160,27,24,160,27,24
-42,-164,151,0,0,151
-183,132,85,0,132,85
48,174,151,48,174,151
-63,55,-81,0,55,0
138,94,111,138,94,111
-120,-29,-72,0,0,0
150,32,138,150,32,138
-79,146,-114,0,146,0
187,-166,120,187,0,120
86,70,-102,86,70,0
169,-179,13,169,0,13
-56,57,154,0,57,154
164,33,63,164,33,63
87,-64,-184,87,0,0
-34,-191,-172,0,0,0
165,24,44,165,24,44
